"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","leander","X","","","","","","","","","","","","","","","","","","",""
"2","pernille","X","X","X","","X","","","","","","","","","","","","","","",""
"3","postkarlen","X","","","","","","","","","","","","","","","","","","",""
"4","leerbeutel","","X","X","X","X","X","X","X","X","X","X","","X","","","","","","",""
"5","bondedrengen/paltsgreven","","","X","","","","","","","","","","X","","","","","X","X","X"
"6","værten","","","","X","","X","X","X","","","","","X","X","","X","X","X","X",""
"7","lakajerne","","","","","","X","","","","","","","","","","","","","",""
"8","en anden vært","","","","","","","X","","","","","","","","","","","","",""
"9","1. vært","","","","","","","X","","","","","","","","","","","","",""
"10","2. vært","","","","","","","X","","","","","","","","","","","","",""
"11","madame ståbi","","","","","","","","X","","","","","","X","X","X","","X","",""
"12","juveleren","","","","","","","","","","X","","","","","X","X","X","X","","X"
"13","1. rådsherre","","","","","","","","","","","X","X","X","","","","","","X","X"
"14","2. rådsherre","","","","","","","","","","","X","X","X","","","","","","",""
"15","3. rådsherre","","","","","","","","","","","","X","","","","","","","",""
"16","greven","","","","","","","","","","","","","X","","","","","","",""
"17","musikanten","","","","","","","","","","","","","","","X","X","","X","",""
"18","peiter","","","","","","","","","","","","","","","","","X","","",""
"19","konen","","","","","","","","","","","","","","","","","","","","X"
"20","faderen","","","","","","","","","","","","","","","","","","","","X"
"21","drengen","","","","","","","","","","","","","","","","","","","","X"
