"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38"
"1","1. proprietær","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2. proprietær","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3. proprietær","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","skyldenborg","","X","X","X","X","X","X","","","","X","","","","X","X","X","X","","","","","","","","","","","","","","","","","","","",""
"5","proprietær","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","henrik","","","X","X","X","X","X","X","X","X","X","X","","","","","","X","","X","","X","","X","X","X","","X","X","X","X","X","X","X","X","X","","X"
"7","fremmede","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","den fremmede","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","jacob","","","","","","","X","","X","","","X","","","","","","","","","X","X","X","X","X","X","X","X","X","X","","","","","X","","",""
"10","studenstrup","","","","","","","","X","X","","","X","","","","","","X","X","X","","","","X","X","","","","","","X","X","X","X","X","","X",""
"11","indenfor [studerende]","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","købmanden","","","","","","","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","","","",""
"13","jøden","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1. købmand","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2. købmand","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"16","trækholdt","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","",""
"17","drengen","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"18","en pige","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"19","lucretia","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","X","","","","","","X","",""
"20","to mænd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"21","knud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"22","vægter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"23","vægterne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"24","niels christensen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
