"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"1","torben","X","X","X","X","","X","","","","","","","","","X","","","","","","X","","","","","X","X"
"2","iversen","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","lucretia","","","X","X","X","X","","","","","X","X","X","","X","","","","","","","X","","","","",""
"4","abelone","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","X"
"5","lakajen","","","","","X","","","","","","","","","","","","","","","","","","","","","",""
"6","terentia","","","","","","X","","X","X","","","","","","","","","","","","","","","X","X","X","X"
"7","øllegård","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"8","sparenborg","","","","","","","X","X","","","X","","","","","X","X","","","X","","","","","X","","X"
"9","manden","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"10","peer","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"11","apicius","","","","","","","","","X","X","","","X","X","","","","","X","","","","X","X","X","","X"
"12","christoffer","","","","","","","","","","","","","","","","","X","X","X","X","","","","","X","","X"
"13","kavaleren","","","","","","","","","","","","","","","","","","","","","","X","","","","","X"
"14","musikant","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"15","espen","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","X"
"16","drengen","","","","","","","","","","","","","","","","","","","","","","","X","","","",""
