"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1","oldfux","X","X","","","","X","","X","X","X","X","",""
"2","andreas","X","","","","","","","","","","","",""
"3","jøden","","X","X","X","","X","","","","","","","X"
"4","henrik","","","X","X","X","X","X","X","","","","X","X"
"5","polidor","","","X","X","X","X","","X","","X","X","X","X"
"6","leonora","","","","","X","","X","","","","X","X","X"
"7","pernille","","","","","X","","X","","","","X","X","X"
"8","leander","","","","","","","","","","","","","X"
"9","fruen","","","","","","","","","","","","","X"
"10","poeterne","","","","","","","","","","","","","X"
"11","værten","","","","","","","","","","","","","X"
"12","kokken","","","","","","","","","","","","","X"
"13","en af de fremmede","","","","","","","","","","","","","X"
