"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34"
"1","niels","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","henning","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","mester gert westphaler","","X","X","","","X","X","X","","X","","X","","X","X","X","","","X","X","X","X","","X","","","","X","","X","X","","X",""
"4","kællingen","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","gunild","","","","X","X","X","","","","","","","","","","","X","X","X","","","","","","","","","","","","","","",""
"6","gilbert","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"7","hadersleveren","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","borgeren","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","",""
"9","værten","","","","","","","","","X","X","X","","X","","","","","","","","","","","","","","","","","","","","",""
"10","jørgen handskemager","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","X","",""
"11","tobias prokurator","","","","","","","","","","","","","X","","","","","","","","","","X","X","X","X","","X","X","","","","",""
"12","jesper","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"13","marie","","","","","","","","","","","","","","","","X","X","","","X","","","","","","","","","","","","","",""
"14","flensborgeren","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"15","tvende mænd","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"16","byfogeden","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","","","","",""
"17","christoffer","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"18","den fremmede","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"19","theophilus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
