"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43"
"1","jesper oldfux","X","X","","","X","X","X","","","X","X","","","","","","","","","X","X","X","X","X","","","","","","","","X","X","X","","X","X","X","X","X","X","X","X"
"2","leonard","","X","","","X","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","X","X","","","","","X","","X","X"
"3","peer","","","X","X","","","","X","X","","X","","","","","","","X","X","","","","","","","","","","","","","","","","","X","","X","X","","","",""
"4","jens","","","","X","","X","","","","","","","","","X","","","","","","","","","X","X","X","X","","","","X","","","","","","","","X","","","",""
"5","tychonius","","","","","","X","X","","","","","","","","X","X","X","","","","","","","X","","","","","","","X","","X","","","","","","X","","","",""
"6","petronius","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","tyboe","","","","","","","","","","X","X","","","","","X","X","","","","","X","","","","","","","","X","","","","","","","X","X","X","","","X",""
"8","leonora","","","","","","","","","","","","X","","X","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"9","pernille","","","","","","","","","","","","X","X","","X","","X","X","","","","","","","","","X","X","X","","X","","","","X","","","","","","","",""
"10","lucilia","","","","","","","","","","","","","X","X","X","","","","","","","","","","","","","","X","X","","","","","","","","","","","","",""
"11","christoff","","","","","","","","","","","","","","","","X","","","","","","","X","","X","X","","","","","","","","","","","","","","","","","X"
"12","værten","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"13","officeren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
