"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1","antonius","X","X","","X","X","X","","","","","","","","","","","","","","","","","","","","","","","X","X"
"2","henrik","","X","X","","","","","","","","","","X","X","X","X","X","X","","X","","X","X","X","X","X","X","","","X"
"3","herman von bremenfeld","","","","X","","","X","X","X","","X","X","X","","","","","","","","","","","X","X","X","X","X","X","X"
"4","geske","","","","","X","X","","X","","","","X","X","","","","X","X","","","X","X","","","","","","","","X"
"5","drengen","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","en anden dreng","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","peiter","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"8","gert buntmager","","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","","",""
"9","sivert posekigger","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","",""
"10","frantz parykmager","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"11","frantz knivsmed","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","",""
"12","værten","","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","","",""
"13","richart børstenbinder","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","",""
"14","tutti","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"15","abrahams","","","","","","","","","","X","X","","","","","","","","","","","","","","","X","","","",""
"16","sanderus","","","","","","","","","","X","X","","","","","","","","","","","","","","","X","","","",""
"17","jochum","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"18","abrahams og sanderus","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"19","lakaj","","","","","","","","","","","X","","","","","","","","","","","","","","X","","","","",""
"20","anneke","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","",""
"21","engelke","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"22","pigen","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"23","to lakajer","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"24","madame abrahamsens","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","",""
"25","madame sanderus","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","",""
"26","1. rådsherreinde","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","",""
"27","2.","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","",""
"28","1.","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","",""
"29","borgmesterinden","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"30","arianke","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"31","1. advokat","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","",""
"32","manden","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"33","2. advokat","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"34","kællingen","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"35","en borger","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"36","borgeren","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"37","en anden borger","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"38","borgmesteren","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","",""
