"","speaker","1","2","3","4","5","6","7","8","18","19","20","21","22","23","24","25","26"
"1","leander","X","X","","","","","","X","","","","","","","","","X"
"2","henrik","X","X","","","","","X","X","","X","X","X","X","","","","X"
"3","leonora","","X","","","","X","","X","","","","","","","","X",""
"4","pernille","","X","","","X","X","X","X","","","","","","","X","","X"
"5","arv","","","X","X","X","","X","X","X","","X","X","","","","",""
"6","jeronimus","","","","X","X","X","X","X","X","","X","X","X","X","X","X","X"
"7","leonard","","","","X","X","X","","","","","","","X","","","","X"
"8","magdelone","","","","","X","","","","","","","","","X","","",""
"9","lakajen","","","","","","","","","","","X","","","","","",""
"10","doktor bombastus","","","","","","","","","","","","X","","X","X","",""
"11","kusken","","","","","","","","","","","","","X","","","",""
