"","filename","act","act_number","docTitle","index","scene","scene_number","speaker","speaker_stage","spoke","stage","title","type","year"
"1","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 1",1,"Timotheus",NA,"Her er en elendig tilstand i denne stad, thi her er hele gader hvor man finder ikke en eneste vederhæftig mand.",NA,"Plutus",4,"(1753)"
"2","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 2",2,"Davus",NA,"Hvis dette er sandt, vil staden støbes om i en anden form. Ak, gid han snart ville komme! Jeg skulle straks ved bøn og knæfald bevæge ham til gavmildhed mod mig. Jeg skulle tilbyde ham mit ringe hus, min egen hustru og døtre skulle ikke være ham for gode, så at han skulle tydeligt mærke at jeg er en meriteret person. Jeg skulle, det som mere er ... Men der ser jeg Diogenes at komme rullende med sin tønde. Han må ikke vide den herlighed som vor stad forestår.",NA,"Plutus",4,"(1753)"
"3","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 3",3,"Davus",NA,"Hej, Diogenes, kast din tønde pokker i vold, og giv dine træsko og din kåbe afsked. Har du ikke hørt at rigdommens gud, Plutus, vil besøge vor stad og der uddele sine gaver.",NA,"Plutus",4,"(1753)"
"4","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 4",4,"Davus",NA,"Gid din filosofiske hund få skam som besmurte min skønne kåbe. Det ligger dog endelig ikke magt på. Jeg mener herefter ikke at bære uden gyldenstyksklæder. Men himmel, hvad er det jeg ser? En gud kommer ned af luften! Mon det er ikke den kære Plutus? Nej, det er dog ikke Plutus. Mig synes at han på dragten ligner heller Mercurius, som er gudernes sendebud. Jo, det er min tro den samme. Ak, mit hele legeme skælver, og synet forbløffer mig.",NA,"Plutus",4,"(1753)"
"5","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,"Scene 5",5,"Mercurius",NA,"Stat op, Davus, og vær ved frit mod. Jeg er gudernes ambassadør. Dig skal intet ondt vederfares.",NA,"Plutus",4,"(1753)"
"6","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 6",6,"Davus",NA,"Jeg må straks kalde på min principal og lade ham denne glædelige tidende tilkendegive. Hej, hr. principal, kom straks herud.",NA,"Plutus",4,"(1753)"
"7","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 7",7,"Plutus",NA,"Har vi langt endnu til staden?",NA,"Plutus",4,"(1753)"
"8","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 8",8,"Davus",NA,"Hvad siger du nu, mester philosophux?",NA,"Plutus",4,"(1753)"
"9","Plutus_mod.jsonl","Første akt",1,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 9",9,"Davus",NA,"Hej, dreng, er du gal?",NA,"Plutus",4,"(1753)"
"10","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,"Scene 1",1,"Aesculapius",NA,"Himmelen har bønhørt denne stads ansøgning og affærdiget mig hid for at kurere Pluti øjne og at forskaffe ham sit syn. Det samme har opfyldt staden med en ubeskrivelig glæde. Hør, Plutus, nu er tiden kommet på hvilken dine øjne skal åbnes, og her er den hellige kilde hvormed dine øjne må tos førend de bestryges med den himmelske salve. Følg mig didhen hvor begyndelsen skal gøres til denne store kur.",NA,"Plutus",4,"(1753)"
"11","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 2",2,"Davus",NA,"Ak himmel, der ser jeg Plutus at gå frem og tilbage med åbne øjne uden ledsager.",NA,"Plutus",4,"(1753)"
"12","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 3",3,"Davus",NA,"Nu må jeg nøje eksaminere mig selv, mit levned og forhold og forfærdige en balanceregning for at se hvorledes facit bliver, om jeg kan regnes blandt de gode eller onde, enten om jeg bliver himmelen noget skyldig, eller om den bliver mig noget skyldig. Jeg håber i det ringeste, når jeg regner debet og kredit sammen og ligner mine gode gerninger imod mine onde at vise en fuldkommen likvidation. Lad nu engang se.",NA,"Plutus",4,"(1753)"
"13","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 4",4,"Diogenes",NA,"Jeg har med forundring hørt hvorledes denne skalkagtige mand kan besmykke sine misgerninger så at han kan gøre lyder til dyder. Gid folk nu af højere stand og lærdom ikke ville gøre det samme. Man finder den fejl hos folk af alle slags stænder. Mange lever hen i tågen og bekymrer sig alene om at æde og drikke. Andre, som gør profession af at studere, efterforsker umagtpåliggende ting og forsømmer at blive oplyst i de mest fornødne videnskaber. Nogle få studerer vel på at kende andre, men bekymrer sig ikke om egenkundskab, holdende for at dertil behøves ingen flid og arbejde såsom efter deres mening intet er lettere end at kende sig selv da erfarenhed dog viser at egenkundskab er vanskeligere end at lære at kende andre mennesker. Thi laster indsniger sig under dyders maske, hovmod tages for et højt og ædelt hjerte, tyranni og hårdhed for retfærdighed, vrede for tapperhed, fejhed for sagtmodighed. Egenkærlighed er størst hinder til egenkundskab. Thi såsom ethvert menneske elsker sig selv, så er ingen indbildning for dem mere behagelig end den hvorved ikke alene farve sættes på deres laster, men hvorved de groveste lyder gøres til dyder. Man vænner sig således til laster at man stedse fremturer deri og lever fornøjet med sig selv.",NA,"Plutus",4,"(1753)"
"14","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 6",6,"Diogenes",NA,"Ja, piber kun, I skabhalse! Ligesom denne komedie endtes med et sørgespil, så vil det óg gå den hele stad. Jeg vil også forsøge at danse, men en dans som giver til kende en forestående tragedie.",NA,"Plutus",4,"(1753)"
"15","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 7",7,"Plutus",NA,"Jeg har allerede beriget mange gode og dydige borgere, og nu leder jeg efter mærkværdige philosophos, som lever i armod. Men hvad er det som jeg der ser? Det er jo Diogenes. Det er rart at se en så ærbar mand at danse. Jeg kan slutte at såsom han er en god patriot, da glæder han sig over stadens velstand, som min ankomst tilvejebringer. Hør, Diogenes, du skal ikke glæde dig forgæves, thi det er sådanne mænd som jeg leder efter, og til hvilke jeg fornemmelig uddeler mine gaver.",NA,"Plutus",4,"(1753)"
"16","Plutus_mod.jsonl","Anden akt",2,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 8",8,"Diogenes",NA,"Så herut med alle forfængeligheder. Jeg skal nok holde rent for min dør. Gid andre kun ville følge mit eksempel. Men jeg tror ikke at jeg vil have mange efterfølgere. Tværtimod: Alter vil oprettes for rigdommens gud Pluto, og Penia, gudinden for fattigdom, under hvis regimente vor stad så længe har blomstret, vil forvises. Jeg går nu bort og kryber ned i min tønde medens staden raser. Thi jeg mærker at ved mine prædikener intet vil udvirkes. Men udfaldet vil lære at mine formaninger er ikke ilde grundede.",NA,"Plutus",4,"(1753)"
"17","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",1,"Scene 1",1,"Plutus",NA,"Nu har jeg udforsket stadens tilstand og med forundring mærket at de dueligste og dydigste mænd har været betlefærdige. Men stadens skikkelse skal snart forandres. Man skal med glæde og fornøjelse mærke at Plutus er ej mere blind: Man skal se dyden at belønnes, og hver borger skal derved opmuntres til dydens øvelse. Men der ser jeg den gode Timotheus at komme, han ser glad og fornøjet ud, og det ikke uden årsag, thi hans skrin og kister, som forhen var tomme, er nu opfyldt med guld og sølv.",NA,"Plutus",4,"(1753)"
"18","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,"Scene 2",2,"Timotheus",NA,"Ak, nådige herre, hvormed kan jeg forskylde de beviste velgerninger? Jeg var tilforn så fattig som Irus, nu er jeg så rig som Krøsus. Tag til takke med et erkendtligt hjerte, som jeg vil beholde så længe som jeg lever.",NA,"Plutus",4,"(1753)"
"19","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 3",3,"Plutus",NA,"Denne mands opførsel forårsager mig nogen eftertanke. Dog håber jeg at staden i almindelighed ved min nærværelse skal blive lykkelig. Her må jeg lidt opholde mig på dette sted for at modtage og affærdige sollicitanter. Der ser jeg en mand at fremtrine. Hans ansigt og nedslagne sind giver hans slette skæbne til kende.",NA,"Plutus",4,"(1753)"
"20","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 4",4,"Moralisten",NA,"Jeg er hidkommet for at bede om hjælp i min armod. Jeg begærer intet til overflod, men alene til nødtørft.",NA,"Plutus",4,"(1753)"
"21","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 5",5,"Bonden",NA,"Guds fred, farlille, bliv ikke vred at jeg så dristigt kommer hid.",NA,"Plutus",4,"(1753)"
"22","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 6",6,"Jomfruen",NA,"Det er mig sagt at Plutus skal opholde sig her. Der tror jeg han er, thi han er mig beskrevet at bære en lang gyldenstykskjole. Ak, nådige herre, jeg beder underdanigst om nogen hjælp.",NA,"Plutus",4,"(1753)"
"23","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 7",7,"Plutus",NA,"Her kommer en ung person hvis klædedragt viser vellyst og forfængelighed, og jeg ser at hjertet er også fuldt deraf.",NA,"Plutus",4,"(1753)"
"24","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 8",8,"Den drukne",NA,"Det er nok her hvor jeg skal finde ham. Rigtig nok. Når der er rådhuset, så må jo her endelig være torvet. Og hvis dette slår fejl, så måtte pokker tro sine øjne mere.",NA,"Plutus",4,"(1753)"
"25","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 9",9,"Euclio",NA,"Her ser jeg den drukkenbolt Strobilo. Sådan er hans daglige levned. Jeg må dog forbarme mig over ham og slæbe ham ud.",NA,"Plutus",4,"(1753)"
"26","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 10",10,"Davus",NA,"Gav du agt på hvilken mine Theodorus gjorde da han gik forbi?",NA,"Plutus",4,"(1753)"
"27","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 11",11,"Diogenes",NA,"Hvad pokker er dette? De er jo færdige at myrde hinanden. Jeg må skille dem ad. Hvad er årsag til sådan forbitrelse?",NA,"Plutus",4,"(1753)"
"28","Plutus_mod.jsonl","Tredje akt",3,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 12",12,"Diogenes",NA,"Hvad havde jeg der at bestille at agere dommer imellem 2 narre? Men det er ikke den første gang jeg har fået sådan konfekt for min fritalenhed. Jeg har stævnet gudinden for fattigdom, Penia, at møde mig for at give hende et godt råd og at trøste hende i denne trængsel som hun ved Pluti ankomst vil underkastes. Men der kommer hun.",NA,"Plutus",4,"(1753)"
"29","Plutus_mod.jsonl","Fjerde akt",4,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 1",1,"Davus",NA,"Denne dag vil blive mærkværdig. Jeg vil bivåne retten fra begyndelsen til enden. Men der ser jeg Diogenes, han kommer nok i samme forsæt. Tak for sidst, hr. magister.",NA,"Plutus",4,"(1753)"
"30","Plutus_mod.jsonl","Fjerde akt",4,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 2",2,"Første rådsherre",NA,"Vi har aldrig trakteret nogen sag af større vigtighed. Jeg har rådet gudinden Penia ganske stiltiende at for lade staden, men hun vil endelig forklare sin sag for retten og forlanger en dom.",NA,"Plutus",4,"(1753)"
"31","Plutus_mod.jsonl","Fjerde akt",4,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,"Scene 3",3,"Anden rådsherre",NA,"I gode herrer, lad os endnu lidt betænke os førend vi afsiger en så vigtig dom. Gudindens sidste tale har sat mig i stor bevægelse så at jeg er hartad færdig at tilbagekalde mit votum.",NA,"Plutus",4,"(1753)"
"32","Plutus_mod.jsonl","Fjerde akt",4,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 4",4,"Første rådsherre",NA,"I denne sag imellem rigdommens gud, Plutus, og fattigdommens gudinde, Penia, dømmes således: Retten erkender som en stor himmelens gave og herlighed at Plutus til os er skikket for at redde os af den armod hvoraf vi hidindtil har laboreret, og derfor finder for godt at for sådant vor velgører tempel og æresstøtte skal oprettes. De indvendinger som Penia herimod har gjort, kendes at være ugrundede, óg dømmes hun til en evigvarende landflygtighed.",NA,"Plutus",4,"(1753)"
"33","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",1,"Scene 1",1,"Davus",NA,"Ak, ulyksalig var den time på hvilken Plutus kom hid til os. Staden er ved hans ankomst bragt i sådan forvirrelse at den trues med undergang. Om han har ret fået sit syn, kan jeg ikke sige, men det er vist at han har tabt sin forstand, det ses af hans gavers dårlige uddeling. Han har gjort mig og andre meriterede mænd afslag og derimod beriget en hob slyngler, for hvilke jeg og andre brave personer ikke vil vige et hår, men holder mig i alle måder lige så god som de er.",NA,"Plutus",4,"(1753)"
"34","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 2",2,"Davus",NA,"Menander, hvor har du fået den pung?",NA,"Plutus",4,"(1753)"
"35","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 3",3,"Davus",NA,"Jeg må hævne mig herover, om det end skal koste mit liv. Hej, er du en ærlig karl, så møder du mig for en kårde. Den forræder er alt borte. Men jeg finder ham snart. Det skal ikke vare længe førend han får sin fortjente løn. Jeg er vel ingen fægtemester, dog har jeg lært så meget at jeg kan feje sådan knægt af. Jeg må forud øve mig lidt.",NA,"Plutus",4,"(1753)"
"36","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 4",4,"Diogenes",NA,"Jeg har med forundring anset denne adfærd og mærker af hans sidste tale at han er kommet til sandheds bekendelse.",NA,"Plutus",4,"(1753)"
"37","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",1,"Scene 5",5,"Diogenes",NA,"Hvad vi hidindtil i en hast har set, er kun et præludium til forestående sørgespil, som ikke uden ved Pluti forviselse og Peniæ tilbagekomst kan endes. Man nødes vel at gribe til det middel. Gid det ikke ville vare for længe førend sygdommen tager så meget overhånd at den bliver inkurabel. Jeg har formået Penia at opholde sig lidt uden for stadsporten på det hun i en hast kan komme staden til hjælp igen. Jeg ser begyndelse til borgerlig krig, jeg ser mange af vore borgere, som forhen holdtes for de dydigste mænd, allerede at være forfaldet til hovmod, vellyst, ødselhed og gerrighed, thi rigdom har stridige virkninger. Den fattige almue truer at hævne sig over rådet formedelst afsagte ubillige dom og at sætte ild på rådhuset. Men der ser jeg en af rådsherrerne at komme, han ser ganske forvirret ud.",NA,"Plutus",4,"(1753)"
"38","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",4,"Scene 6",6,"Rådsherren",NA,"Vil I bestorme huset? Kan I ikke have tålmodighed indtil rådet samles da en efter anden kan indkomme med sine klager?",NA,"Plutus",4,"(1753)"
"39","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 7",7,"Første rådsherre",NA,"Jeg har ventet med smerte på eder at vi kan overlægge med hinanden hvad vi i denne slibrige tilstand skal foretage.",NA,"Plutus",4,"(1753)"
"40","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 8",8,"Første rådsherre",NA,"Hvad har hun at forebringe, min gode jomfru?",NA,"Plutus",4,"(1753)"
"41","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,"Scene 9",9,"Skolemesteren",NA,"Gunstige herrer dommere, republikkens højvise fædre og overformyndere! Aristoteles siger i hans gyldne Ethica at ...",NA,"Plutus",4,"(1753)"
"42","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 10",10,"Pigen",NA,"Ak, I gode herrer, jeg tager min tilflugt til eder. I må skaffe mig ret.",NA,"Plutus",4,"(1753)"
"43","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 11",11,"Præsten",NA,"Jeg kommer hid på den hele gejstligheds vegne for at lade eder vide at religionen trues med undergang, og at skyld lægges på rådet, som sådant uheld har forårsaget.",NA,"Plutus",4,"(1753)"
"44","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 12",12,"",NA,"Den ulyksalige tilstand som republikken er bragt i, må alene tilskrives stadens borgere, hvis idelige ansøgninger og ublu råben har ligesom tvunget himmelen til at føje dem heri. I ser heraf hvor ilde grundede og dårlige menneskers begæringer er, og at de stormer til himmelen for at erholde de ting som er dem mest skadelige. Gid I af dette eksempel ville lære at blive klogere og at lade eders anliggende ankomme på himmelens godtbefindende, som bedst ved hvad eder er tjenligt. Når I beder, da bed ikke om styrke, sejr, rigdom og andre deslige ting, men bed alene i almindelighed om det som kan være eder nyttigt, eller betjen eder af den bøn som en af eders philosophis har dikteret, så lydende: Giv os tjenlige ting endskønt vi ikke beder derom, og nægt os skadelige ting endskønt vi beder derom.",NA,"Plutus",4,"(1753)"
"45","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 13",13,"tjeneren",NA,"I gode herrer kan straks i sikkerhed gå bort, thi en frygt og rædsel er kommet på staden så at stivhed og oprør er forvandlet til sagtmodighed og ydmyghed.",NA,"Plutus",4,"(1753)"
"46","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 14",14,"",NA,"O, et forunderligt eksempel!
For den man nys oprejste tempel,
	nu hånhed vises og foragt.
Af staden dens velgører ledes,
og fattigdom igen ombedes
	at øve forrig’ overmagt.
En fiende på ny man hylder
og egne synder mig påskylder
	skønt alles jeg velgører er.
Jeg søge må nu andre stæder
hvor leves kan i pris og hæder,
	hvor for velgerning tak man ter.
Med blindhed jeg på ny er slagen,
og øjnes syn mig er betagen,
	jeg skiller, kender intet mer’.
Jeg mig derover ej bør græmme,
thi med det gode jeg det slemme
	blandt mennesker ej mere ser.
",NA,"Plutus",5,"(1753)"
"47","Plutus_mod.jsonl","Femte akt",5,"Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,"Scene 15",15,"",NA,"Af dette skuespil vi kende kan og lære
hvor ilde grundede tit vores ønsker ere.
	Man hyler, klager og som uheld det anser
	at lykken, rigdoms gud med blindhed slagen er.
Lad rigdoms blinde gud i blindhed stedse stikke,
lad ham i tågen gå, forlanger, ønsker ikke
	at kunstig okulist sin kunst på denne gud
	må øve, at han hind’ af øje skærer ud.
",NA,"Plutus",5,"(1753)"
