"","act","scene","speaker_stage"
"1","Første akt","Scene 1","( tager op et stykke smalt papir men så langt som det hele theatrum)"
"2","Første akt","Scene 3","(Sagte)"
"3","Første akt","Scene 3","(Højt)"
"4","Første akt","Scene 4","(alene, tæller på fingrene)"
"5","Første akt","Scene 4","(Tæller igen og får 10 måneder 2 gange efter hinanden)"
"6","Første akt","Scene 6","(går bort og kommer tilbage igen med møllen)"
"7","Første akt","Scene 7","(kommer ind)"
"8","Første akt","Scene 7","(tager hende i munden)"
"9","Anden akt","Scene 1","(kommer frem med barnet)"
"10","Anden akt","Scene 1","(med en tallerken)"
"11","Anden akt","Scene 6","(kryber frem)"
"12","Anden akt","Scene 7","(tørrer sveden af sig)"
"13","Anden akt","Scene 7","(Sagte)"
"14","Anden akt","Scene 8","(tørrer imidlertid sveden af sig)"
"15","Anden akt","Scene 12","(Hun græder igen)"
"16","Anden akt","Scene 14","(til pigen)"
"17","Tredje akt","Scene 2","(i et sønderrevet, pjaltet liberi)"
"18","Tredje akt","Scene 3","(Sagte ved sig selv)"
"19","Tredje akt","Scene 3","(Sagte)"
"20","Tredje akt","Scene 5","(rejser sig op)"
"21","Tredje akt","Scene 5","(spadserer og tørrer sveden af sig)"
"22","Tredje akt","Scene 6","(sagte)"
"23","Tredje akt","Scene 6","(Går bort)"
"24","Tredje akt","Scene 7","(alene)"
"25","Fjerde akt","Scene 2","(kommer tilbage)"
"26","Fjerde akt","Scene 3","(indløbende igen, kaster huen af og tager sin paryk på)"
"27","Fjerde akt","Scene 3","(Sagte)"
"28","Fjerde akt","Scene 3","(Sagte)"
"29","Fjerde akt","Scene 3","(Støder efter Corfitz)"
"30","Fjerde akt","Scene 3","(omfavner ham)"
"31","Fjerde akt","Scene 4","(kommer ind med vågekonen, som holder på hans hat)"
"32","Fjerde akt","Scene 4","(sagte)"
"33","Fjerde akt","Scene 4","(gravende i lommen)"
"34","Fjerde akt","Scene 6","(kommer indløbende og råber:)"
"35","Fjerde akt","Scene 6","(Til soldaterne)"
"36","Fjerde akt","Scene 6","(skælvende)"
"37","Fjerde akt","Scene 6","(råber højt)"
"38","Fjerde akt","Scene 6","(tager i lommen)"
"39","Fjerde akt","Scene 7","(sagte)"
"40","Fjerde akt","Scene 8","(rækkende hovedet frem)"
"41","Fjerde akt","Scene 8","(kommer frem)"
"42","Fjerde akt","Scene 9","(alene)"
"43","Fjerde akt","Scene 9","(tilbage)"
"44","Femte akt","Scene 2","(sagte)"
"45","Femte akt","Scene 2","(Højt)"
"46","Femte akt","Scene 2","(sagte)"
"47","Femte akt","Scene 3","(kommer ind)"
"48","Femte akt","Scene 3","(kommer ind)"
"49","Femte akt","Scene 3","(rejser sig)"
"50","Femte akt","Scene 4","(sagte)"
"51","Femte akt","Scene 5","(skiller dem ad og siger:)"
"52","Femte akt","Scene 5","(rykker manden til side)"
"53","Femte akt","Scene 5","(rykker ham til sig)"
"54","Femte akt","Scene 5","(rykker ham til sig igen)"
