"","act","scene","stage"
"1","Første akt","Scene 2","Claus, Troels"
"2","Første akt","Scene 3","Corfitz, Troels"
"3","Første akt","Scene 4","(Han bliver vred og tager sin hat og kaster den mod gulvet så at lidserne går i stykker, hvorudover, når han skal sætte den på hovedet igen, er den ganske bred og hængende)"
"4","Første akt","Scene 5","Jeronimus, Corfitz"
"5","Første akt","Scene 6","Troels, Corfitz, Jeronimus"
"6","Første akt","Scene 6","(Han maler og snakker tillige)"
"7","Første akt","Scene 6","(Jeronimus går)"
"8","Første akt","Scene 7","(Hun går sin vej)"
"9","Første akt","Scene 7","(Går og spadserer 3 gange frem og tilbage og synger sagte ved sig selv, kalder på Troels)"
"10","Første akt","Scene 7","(Han trækker ham ud i håret)"
"11","Anden akt","Scene 1","Barselsseng præsenteres"
"12","Anden akt","Scene 1","Manden, barselskvinden"
"13","Anden akt","Scene 1","(Hun går ud med barnet og synger)"
"14","Anden akt","Scene 1","(Han kryber under sengen)"
"15","Anden akt","Scene 1","(Pigen går bort, og manden rækker hovedet frem, siger:)"
"16","Anden akt","Scene 1","(Kryber under sengen igen)"
"17","Anden akt","Scene 2","To damer, barselskvinden"
"18","Anden akt","Scene 2","(De går bag skærmbrættet. Imidlertid kryber Corfitz frem og spørger om de er borte, men kryber straks tilbage igen)"
"19","Anden akt","Scene 3","Anne Kandestøbers, de 2 damer, barselskvinden"
"20","Anden akt","Scene 4","Anne Kandestøbers, barselskvinden"
"21","Anden akt","Scene 5","Ingeborg Blytækkers, Anne Kandestøbers, barselskvinden"
"22","Anden akt","Scene 5","(Anne Kandestøbers giver hende en ørefigen, hun får en igen, de slås og river huen af hinanden)"
"23","Anden akt","Scene 5","(De sætter deres huer på og går ud)"
"24","Anden akt","Scene 6","Arianke Bogtrykkers, barselskvinden"
"25","Anden akt","Scene 6","(Kryber under sengen igen)"
"26","Anden akt","Scene 7","Barselskvinden, Else Skolemesters"
"27","Anden akt","Scene 8","Øllegård, Dorthe, Else, barselkvinden"
"28","Anden akt","Scene 8","(De taler begge to på en gang)"
"29","Anden akt","Scene 8","(De taler begge igen)"
"30","Anden akt","Scene 8","(Begge fortæller igen)"
"31","Anden akt","Scene 8","(De taler begge igen)"
"32","Anden akt","Scene 8","(Imedens de taler, ligger barselskvinden og holder for ørene)"
"33","Anden akt","Scene 8","(Fortæller begge to)"
"34","Anden akt","Scene 8","(De fortæller historien begge to, men i en anden stil)"
"35","Anden akt","Scene 9","Engelke Hattemagers, barselskvinden"
"36","Anden akt","Scene 9","(Hun kommer ind og gør en kompliment)"
"37","Anden akt","Scene 9","(Hun gør komplimenten igen)"
"38","Anden akt","Scene 9","(Hun gør atter kompliment)"
"39","Anden akt","Scene 9","(Hun gør igen kompliment)"
"40","Anden akt","Scene 9","(Hun gør kompliment igen og sætter sig, men taler i et halvt kvarter ikke et ord. Endelig rejser hun sig op og gør en kompliment til afsked)"
"41","Anden akt","Scene 10","Stine Isenkræmmers, barselskvinden"
"42","Anden akt","Scene 11","Abelone Hans Hansens, Christine Erik Eriksens, barselskvinden"
"43","Anden akt","Scene 11","(De trættes om rangen)"
"44","Anden akt","Scene 11","(Rykker hende fra stolen, hvorpå bliver klammeri)"
"45","Anden akt","Scene 11","(Går ud)"
"46","Anden akt","Scene 11","(Går også ud)"
"47","Anden akt","Scene 11","(Corfitz kryber frem)"
"48","Anden akt","Scene 11","(Han kryber under sengen igen)"
"49","Anden akt","Scene 12","Geske Klokkers, barselskvinden"
"50","Anden akt","Scene 12","(Hun græder og tager sit forklæde op)"
"51","Anden akt","Scene 12","(Hun græder igen)"
"52","Anden akt","Scene 12","(Hun græder)"
"53","Anden akt","Scene 12","(Hun græder igen)"
"54","Anden akt","Scene 12","(Hun tager tørklædet op og græder igen)"
"55","Anden akt","Scene 13","Karen Urmagers, Ellen Kantors, Geske Klokkers, barselskvinden"
"56","Anden akt","Scene 13","(Hun synger en hob tyske og franske viser og pronuncerer fransken ligesom den skrives, og derpå tager afsked med Geske. Aktricen må selv choisere viserne)"
"57","Anden akt","Scene 14","Corfitz, barselskvinden"
"58","Tredje akt","Scene 1","(Der kommer ind så mange fruentimmer som kan kommes af sted. Efter at de har aflagt deres gratulation, sidder de ganske stille og måber en tid lang. Endelig siger en kone:)"
"59","Tredje akt","Scene 1","(De begynder at tale og disputere stærkt alle tillige. Midt disputten kommer en pjaltet tjener ind og melder sin frue an, hvorudover der bliver stille)"
"60","Tredje akt","Scene 1","(De tager afsked og går)"
"61","Tredje akt","Scene 2","En frue, barselskvinden"
"62","Tredje akt","Scene 2","(Fruen kommer i en portechaise med et pjaltet liberi)"
"63","Tredje akt","Scene 3","Anne Signekælling, barselskvinden"
"64","Tredje akt","Scene 3","(Går ud)"
"65","Tredje akt","Scene 3","(Hun løber og skjuler sig bag skærmbrættet)"
"66","Tredje akt","Scene 4","Mester Bonifacius, barselskvinden"
"67","Tredje akt","Scene 5","Tvende koner, mester Bonifacius, barselskvinden"
"68","Tredje akt","Scene 5","(De andre holder tørklæderne for ansigtet af blusel)"
"69","Tredje akt","Scene 5","(De andre begynder at fnise, og pigen græder)"
"70","Tredje akt","Scene 5","(De begynder at le allesammen, pigen bliver vred, går bort med den anden kone og truer barberen)"
"71","Tredje akt","Scene 5","(Han løber bag skærmbrættet)"
"72","Tredje akt","Scene 6","Barselskvinden, en doktor"
"73","Tredje akt","Scene 6","(Medens han dette siger, falder skærmbrættet om med barberen og signekællingen oven på doktoren så de blev alle 3 lig gende på gulvet. Mester Bonifacius kommer først op og trækker kællingen ud efter håret. Doktoren igen får fat på barberens hår indtil døren, hvor han endelig må slippe)"
"74","Fjerde akt","Scene 1","En kone, Troels"
"75","Fjerde akt","Scene 1","(Hun går bort)"
